Date,TideType,TideTime,TideHeight (meters)
14/01/2024,Low,06:42:00,0.76
14/01/2024,Low,19:18:00,0.42
15/01/2024,High,02:03:00,3.94
15/01/2024,High,14:14:00,4.29
15/01/2024,Low,07:31:00,0.82
15/01/2024,Low,20:09:00,0.48
16/01/2024,High,02:54:00,3.86
16/01/2024,High,15:06:00,4.21
16/01/2024,Low,08:24:00,0.92
16/01/2024,Low,21:04:00,0.6
17/01/2024,High,03:50:00,3.75
17/01/2024,High,16:02:00,4.08
17/01/2024,Low,09:20:00,1.06
17/01/2024,Low,22:02:00,0.79
18/01/2024,High,04:49:00,3.63
18/01/2024,High,17:02:00,3.91
18/01/2024,Low,10:21:00,1.21
18/01/2024,Low,23:03:00,1
19/01/2024,High,05:55:00,3.54
19/01/2024,High,18:09:00,3.75
19/01/2024,Low,11:27:00,1.34
19/01/2024,Low,11:27:00,1.34
20/01/2024,High,07:04:00,3.51
20/01/2024,High,19:21:00,3.63
20/01/2024,Low,00:09:00,1.2
20/01/2024,Low,12:39:00,1.43
21/01/2024,High,08:12:00,3.55
21/01/2024,High,20:33:00,3.58
21/01/2024,Low,01:24:00,1.33
21/01/2024,Low,13:54:00,1.42
22/01/2024,High,09:15:00,3.65
22/01/2024,High,21:40:00,3.59
22/01/2024,Low,02:35:00,1.36
22/01/2024,Low,15:03:00,1.3
23/01/2024,High,10:11:00,3.77
23/01/2024,High,22:36:00,3.63
23/01/2024,Low,03:34:00,1.3
23/01/2024,Low,15:59:00,1.15
24/01/2024,High,10:58:00,3.88
24/01/2024,High,23:21:00,3.66
24/01/2024,Low,04:20:00,1.21
24/01/2024,Low,16:45:00,1
25/01/2024,High,11:36:00,3.95
25/01/2024,High,23:57:00,3.66
25/01/2024,Low,04:58:00,1.12
25/01/2024,Low,17:24:00,0.88
26/01/2024,High,12:08:00,3.99
26/01/2024,Low,05:33:00,1.05
26/01/2024,Low,18:00:00,0.81
26/01/2024,High,12:08:00,3.99
27/01/2024,High,00:26:00,3.65
27/01/2024,High,12:38:00,3.99
27/01/2024,Low,06:03:00,1
27/01/2024,Low,18:34:00,0.78
28/01/2024,High,00:55:00,3.64
28/01/2024,High,13:09:00,3.97
28/01/2024,Low,06:34:00,0.98
28/01/2024,Low,19:07:00,0.79
29/01/2024,High,01:27:00,3.63
29/01/2024,High,13:42:00,3.92
29/01/2024,Low,07:05:00,0.99
29/01/2024,Low,19:39:00,0.83
30/01/2024,High,02:02:00,3.6
30/01/2024,High,14:18:00,3.85
30/01/2024,Low,07:38:00,1.03
30/01/2024,Low,20:12:00,0.89
31/01/2024,High,02:39:00,3.56
31/01/2024,High,14:57:00,3.75
31/01/2024,Low,08:13:00,1.11
31/01/2024,Low,20:48:00,0.99
01/02/2024,High,03:19:00,3.48
01/02/2024,High,15:38:00,3.62
01/02/2024,Low,08:51:00,1.23
01/02/2024,Low,21:27:00,1.12
02/02/2024,High,04:04:00,3.38
02/02/2024,High,16:24:00,3.46
02/02/2024,Low,09:36:00,1.37
02/02/2024,Low,22:12:00,1.28
03/02/2024,High,04:57:00,3.27
03/02/2024,High,17:19:00,3.31
03/02/2024,Low,10:28:00,1.52
03/02/2024,Low,23:08:00,1.45
04/02/2024,High,06:00:00,3.19
04/02/2024,High,18:28:00,3.21
04/02/2024,Low,11:37:00,1.63
04/02/2024,Low,11:37:00,1.63
05/02/2024,High,07:15:00,3.22
05/02/2024,High,19:50:00,3.24
05/02/2024,Low,00:23:00,1.55
05/02/2024,Low,12:59:00,1.62
06/02/2024,High,08:24:00,3.37
06/02/2024,High,21:00:00,3.4
06/02/2024,Low,01:39:00,1.52
06/02/2024,Low,14:11:00,1.43
07/02/2024,High,09:21:00,3.6
07/02/2024,High,21:57:00,3.61
07/02/2024,Low,02:45:00,1.35
07/02/2024,Low,15:11:00,1.14
08/02/2024,High,10:09:00,3.85
08/02/2024,High,22:45:00,3.81
08/02/2024,Low,03:36:00,1.1
08/02/2024,Low,16:00:00,0.79
09/02/2024,High,10:54:00,4.09
09/02/2024,High,23:28:00,3.97
09/02/2024,Low,04:21:00,0.85
09/02/2024,Low,16:45:00,0.48
10/02/2024,High,11:36:00,4.27
10/02/2024,Low,05:02:00,0.64
10/02/2024,Low,17:28:00,0.25
10/02/2024,High,11:36:00,4.27
11/02/2024,High,00:11:00,4.05
11/02/2024,High,12:19:00,4.38
11/02/2024,Low,05:42:00,0.5
11/02/2024,Low,18:12:00,0.13
12/02/2024,High,00:53:00,4.07
12/02/2024,High,13:03:00,4.41
12/02/2024,Low,06:24:00,0.45
12/02/2024,Low,18:57:00,0.14
13/02/2024,High,01:37:00,4.02
13/02/2024,High,13:50:00,4.36
13/02/2024,Low,07:09:00,0.5
13/02/2024,Low,19:44:00,0.27
14/02/2024,High,02:24:00,3.91
14/02/2024,High,14:39:00,4.23
14/02/2024,Low,07:57:00,0.62
14/02/2024,Low,20:33:00,0.49
15/02/2024,High,03:12:00,3.77
15/02/2024,High,15:32:00,4.03
15/02/2024,Low,08:49:00,0.81
15/02/2024,Low,21:26:00,0.77
16/02/2024,High,04:07:00,3.6
16/02/2024,High,16:30:00,3.78
16/02/2024,Low,09:48:00,1.03
16/02/2024,Low,22:23:00,1.09
17/02/2024,High,05:12:00,3.44
17/02/2024,High,17:41:00,3.54
17/02/2024,Low,10:53:00,1.26
17/02/2024,Low,23:28:00,1.39
18/02/2024,High,06:27:00,3.35
18/02/2024,High,19:01:00,3.37
18/02/2024,Low,12:09:00,1.42
18/02/2024,Low,12:09:00,1.42
19/02/2024,High,07:44:00,3.37
19/02/2024,High,20:21:00,3.33
19/02/2024,Low,00:53:00,1.59
19/02/2024,Low,13:39:00,1.43
20/02/2024,High,08:55:00,3.49
20/02/2024,High,21:34:00,3.39
20/02/2024,Low,02:24:00,1.57
20/02/2024,Low,14:56:00,1.29
21/02/2024,High,09:57:00,3.66
21/02/2024,High,22:30:00,3.49
21/02/2024,Low,03:25:00,1.43
21/02/2024,Low,15:50:00,1.09
22/02/2024,High,10:44:00,3.8
22/02/2024,High,23:11:00,3.55
22/02/2024,Low,04:09:00,1.26
22/02/2024,Low,16:31:00,0.92
23/02/2024,High,11:21:00,3.88
23/02/2024,High,23:41:00,3.59
23/02/2024,Low,04:43:00,1.1
23/02/2024,Low,17:06:00,0.79
24/02/2024,High,11:50:00,3.92
24/02/2024,Low,05:14:00,0.96
24/02/2024,Low,17:38:00,0.71
24/02/2024,High,11:50:00,3.92
25/02/2024,High,00:04:00,3.61
25/02/2024,High,12:15:00,3.92
25/02/2024,Low,05:42:00,0.86
25/02/2024,Low,18:07:00,0.68
26/02/2024,High,00:27:00,3.64
26/02/2024,High,12:42:00,3.91
26/02/2024,Low,06:09:00,0.81
26/02/2024,Low,18:34:00,0.68
27/02/2024,High,00:54:00,3.67
27/02/2024,High,13:11:00,3.88
27/02/2024,Low,06:34:00,0.79
27/02/2024,Low,19:00:00,0.71
28/02/2024,High,01:24:00,3.68
28/02/2024,High,13:45:00,3.83
28/02/2024,Low,07:02:00,0.8
28/02/2024,Low,19:29:00,0.76
29/02/2024,High,02:00:00,3.66
29/02/2024,High,14:22:00,3.75
29/02/2024,Low,07:35:00,0.86
29/02/2024,Low,20:03:00,0.84
01/03/2024,High,02:39:00,3.6
01/03/2024,High,15:03:00,3.63
01/03/2024,Low,08:12:00,0.96
01/03/2024,Low,20:42:00,0.99
02/03/2024,High,03:21:00,3.47
02/03/2024,High,15:48:00,3.46
02/03/2024,Low,08:54:00,1.12
02/03/2024,Low,21:26:00,1.19
03/03/2024,High,04:10:00,3.32
03/03/2024,High,16:41:00,3.27
03/03/2024,Low,09:45:00,1.31
03/03/2024,Low,22:20:00,1.42
04/03/2024,High,05:09:00,3.17
04/03/2024,High,17:51:00,3.12
04/03/2024,Low,10:51:00,1.48
04/03/2024,Low,23:38:00,1.61
05/03/2024,High,06:29:00,3.12
05/03/2024,High,19:26:00,3.13
05/03/2024,Low,12:27:00,1.52
05/03/2024,Low,12:27:00,1.52
06/03/2024,High,07:54:00,3.26
06/03/2024,High,20:44:00,3.33
06/03/2024,Low,01:13:00,1.59
06/03/2024,Low,13:51:00,1.31
07/03/2024,High,08:58:00,3.52
07/03/2024,High,21:42:00,3.58
07/03/2024,Low,02:28:00,1.36
07/03/2024,Low,14:57:00,0.95
08/03/2024,High,09:50:00,3.82
08/03/2024,High,22:29:00,3.82
08/03/2024,Low,03:22:00,1.04
08/03/2024,Low,15:46:00,0.56
09/03/2024,High,10:35:00,4.09
09/03/2024,High,23:11:00,3.99
09/03/2024,Low,04:06:00,0.72
09/03/2024,Low,16:30:00,0.24
10/03/2024,High,11:17:00,4.29
10/03/2024,High,23:50:00,4.08
10/03/2024,Low,04:45:00,0.46
10/03/2024,Low,17:10:00,0.03
11/03/2024,High,11:58:00,4.39
11/03/2024,Low,05:24:00,0.29
11/03/2024,Low,17:51:00,-0.04
11/03/2024,High,11:58:00,4.39
12/03/2024,High,00:29:00,4.09
12/03/2024,High,12:41:00,4.4
12/03/2024,Low,06:03:00,0.24
12/03/2024,Low,18:33:00,0.04
13/03/2024,High,01:09:00,4.03
13/03/2024,High,13:26:00,4.31
13/03/2024,Low,06:45:00,0.29
13/03/2024,Low,19:17:00,0.23
14/03/2024,High,01:51:00,3.93
14/03/2024,High,14:14:00,4.13
14/03/2024,Low,07:32:00,0.43
14/03/2024,Low,20:03:00,0.52
15/03/2024,High,02:38:00,3.78
15/03/2024,High,15:06:00,3.89
15/03/2024,Low,08:24:00,0.65
15/03/2024,Low,20:53:00,0.85
16/03/2024,High,03:29:00,3.6
16/03/2024,High,16:05:00,3.61
16/03/2024,Low,09:22:00,0.91
16/03/2024,Low,21:48:00,1.21
17/03/2024,High,04:30:00,3.41
17/03/2024,High,17:18:00,3.34
17/03/2024,Low,10:27:00,1.16
17/03/2024,Low,22:52:00,1.52
18/03/2024,High,05:51:00,3.27
18/03/2024,High,18:41:00,3.18
18/03/2024,Low,11:44:00,1.35
18/03/2024,Low,11:44:00,1.35
19/03/2024,High,07:14:00,3.27
19/03/2024,High,20:06:00,3.18
19/03/2024,Low,00:16:00,1.72
19/03/2024,Low,13:20:00,1.36
20/03/2024,High,08:30:00,3.4
20/03/2024,High,21:21:00,3.29
20/03/2024,Low,02:02:00,1.68
20/03/2024,Low,14:36:00,1.2
21/03/2024,High,09:33:00,3.57
21/03/2024,High,22:12:00,3.42
21/03/2024,Low,03:03:00,1.48
21/03/2024,Low,15:27:00,1.01
22/03/2024,High,10:20:00,3.72
22/03/2024,High,22:48:00,3.51
22/03/2024,Low,03:45:00,1.26
22/03/2024,Low,16:06:00,0.84
23/03/2024,High,10:55:00,3.8
23/03/2024,High,23:14:00,3.57
23/03/2024,Low,04:19:00,1.05
23/03/2024,Low,16:39:00,0.73
24/03/2024,High,11:24:00,3.84
24/03/2024,High,23:36:00,3.62
24/03/2024,Low,04:49:00,0.89
24/03/2024,Low,17:09:00,0.66
25/03/2024,High,11:49:00,3.84
25/03/2024,High,23:57:00,3.66
25/03/2024,Low,05:16:00,0.79
25/03/2024,Low,17:35:00,0.64
26/03/2024,High,12:14:00,3.83
26/03/2024,Low,05:40:00,0.72
26/03/2024,Low,17:59:00,0.64
26/03/2024,High,12:14:00,3.83
27/03/2024,High,00:21:00,3.71
27/03/2024,High,12:42:00,3.81
27/03/2024,Low,06:03:00,0.7
27/03/2024,Low,18:24:00,0.67
28/03/2024,High,00:52:00,3.75
28/03/2024,High,13:15:00,3.78
28/03/2024,Low,06:31:00,0.7
28/03/2024,Low,18:54:00,0.72
29/03/2024,High,01:27:00,3.74
29/03/2024,High,13:54:00,3.71
29/03/2024,Low,07:05:00,0.75
29/03/2024,Low,19:30:00,0.82
30/03/2024,High,02:07:00,3.67
30/03/2024,High,14:36:00,3.6
30/03/2024,Low,07:43:00,0.85
30/03/2024,Low,20:10:00,0.98
31/03/2024,High,03:51:00,3.55
31/03/2024,High,16:24:00,3.44
31/03/2024,Low,09:29:00,1
31/03/2024,Low,21:57:00,1.2
01/04/2024,High,04:40:00,3.39
01/04/2024,High,17:20:00,3.26
01/04/2024,Low,10:24:00,1.18
01/04/2024,Low,22:57:00,1.43
02/04/2024,High,05:41:00,3.24
02/04/2024,High,18:34:00,3.13
02/04/2024,Low,11:38:00,1.33
02/04/2024,Low,11:38:00,1.33
03/04/2024,High,07:00:00,3.18
03/04/2024,High,20:07:00,3.16
03/04/2024,Low,00:18:00,1.59
03/04/2024,Low,13:10:00,1.32
04/04/2024,High,08:24:00,3.31
04/04/2024,High,21:24:00,3.36
04/04/2024,Low,01:51:00,1.54
04/04/2024,Low,14:33:00,1.09
05/04/2024,High,09:32:00,3.57
05/04/2024,High,22:21:00,3.61
05/04/2024,Low,03:05:00,1.3
05/04/2024,Low,15:36:00,0.75
06/04/2024,High,10:26:00,3.85
06/04/2024,High,23:08:00,3.82
06/04/2024,Low,03:59:00,0.97
06/04/2024,Low,16:26:00,0.42
07/04/2024,High,11:12:00,4.09
07/04/2024,High,23:49:00,3.97
07/04/2024,Low,04:43:00,0.66
07/04/2024,Low,17:09:00,0.16
08/04/2024,High,11:56:00,4.25
08/04/2024,Low,05:24:00,0.41
08/04/2024,Low,17:50:00,0.03
08/04/2024,High,11:56:00,4.25
09/04/2024,High,00:27:00,4.05
09/04/2024,High,12:39:00,4.32
09/04/2024,Low,06:03:00,0.26
09/04/2024,Low,18:30:00,0.03
10/04/2024,High,01:05:00,4.06
10/04/2024,High,13:22:00,4.29
10/04/2024,Low,06:44:00,0.22
10/04/2024,Low,19:10:00,0.16
11/04/2024,High,01:44:00,4.02
11/04/2024,High,14:07:00,4.17
11/04/2024,Low,07:27:00,0.28
11/04/2024,Low,19:52:00,0.38
12/04/2024,High,02:26:00,3.93
12/04/2024,High,14:55:00,3.99
12/04/2024,Low,08:14:00,0.42
12/04/2024,Low,20:38:00,0.67
13/04/2024,High,03:12:00,3.8
13/04/2024,High,15:48:00,3.75
13/04/2024,Low,09:06:00,0.62
13/04/2024,Low,21:27:00,0.98
14/04/2024,High,04:02:00,3.64
14/04/2024,High,16:47:00,3.49
14/04/2024,Low,10:04:00,0.85
14/04/2024,Low,22:21:00,1.29
15/04/2024,High,05:02:00,3.46
15/04/2024,High,17:57:00,3.25
15/04/2024,Low,11:08:00,1.07
15/04/2024,Low,23:24:00,1.56
16/04/2024,High,06:19:00,3.32
16/04/2024,High,19:16:00,3.12
16/04/2024,Low,12:20:00,1.23
16/04/2024,Low,12:20:00,1.23
17/04/2024,High,07:39:00,3.29
17/04/2024,High,20:36:00,3.13
17/04/2024,Low,00:38:00,1.73
17/04/2024,Low,13:44:00,1.26
18/04/2024,High,08:53:00,3.38
18/04/2024,High,21:45:00,3.24
18/04/2024,Low,02:13:00,1.7
18/04/2024,Low,14:57:00,1.16
19/04/2024,High,09:55:00,3.51
19/04/2024,High,22:34:00,3.38
19/04/2024,Low,03:23:00,1.52
19/04/2024,Low,15:50:00,1.01
20/04/2024,High,10:42:00,3.63
20/04/2024,High,23:09:00,3.49
20/04/2024,Low,04:09:00,1.3
20/04/2024,Low,16:31:00,0.87
21/04/2024,High,11:20:00,3.71
21/04/2024,High,23:39:00,3.57
21/04/2024,Low,04:45:00,1.1
21/04/2024,Low,17:05:00,0.77
22/04/2024,High,11:52:00,3.74
22/04/2024,Low,05:17:00,0.95
22/04/2024,Low,17:34:00,0.72
22/04/2024,High,11:52:00,3.74
23/04/2024,High,00:04:00,3.64
23/04/2024,High,12:20:00,3.75
23/04/2024,Low,05:45:00,0.85
23/04/2024,Low,18:00:00,0.7
24/04/2024,High,00:27:00,3.7
24/04/2024,High,12:46:00,3.75
24/04/2024,Low,06:09:00,0.79
24/04/2024,Low,18:25:00,0.71
25/04/2024,High,00:52:00,3.76
25/04/2024,High,13:16:00,3.75
25/04/2024,Low,06:35:00,0.75
25/04/2024,Low,18:53:00,0.73
26/04/2024,High,01:24:00,3.8
26/04/2024,High,13:52:00,3.73
26/04/2024,Low,07:06:00,0.75
26/04/2024,Low,19:26:00,0.79
27/04/2024,High,02:02:00,3.79
27/04/2024,High,14:34:00,3.67
27/04/2024,Low,07:42:00,0.78
27/04/2024,Low,20:05:00,0.9
28/04/2024,High,02:45:00,3.74
28/04/2024,High,15:20:00,3.58
28/04/2024,Low,08:27:00,0.86
28/04/2024,Low,20:51:00,1.05
29/04/2024,High,03:32:00,3.65
29/04/2024,High,16:12:00,3.46
29/04/2024,Low,09:18:00,0.97
29/04/2024,Low,21:44:00,1.24
30/04/2024,High,04:25:00,3.53
30/04/2024,High,17:12:00,3.33
30/04/2024,Low,10:21:00,1.08
30/04/2024,Low,22:48:00,1.4
01/05/2024,High,05:27:00,3.43
01/05/2024,High,18:25:00,3.26
01/05/2024,Low,11:36:00,1.13
01/05/2024,Low,11:36:00,1.13
02/05/2024,High,06:40:00,3.42
02/05/2024,High,19:45:00,3.31
02/05/2024,Low,00:05:00,1.48
02/05/2024,Low,12:54:00,1.07
03/05/2024,High,07:55:00,3.52
03/05/2024,High,20:55:00,3.46
03/05/2024,Low,01:23:00,1.42
03/05/2024,Low,14:07:00,0.9
04/05/2024,High,09:01:00,3.7
04/05/2024,High,21:53:00,3.64
04/05/2024,Low,02:31:00,1.23
04/05/2024,Low,15:08:00,0.66
05/05/2024,High,09:58:00,3.9
05/05/2024,High,22:42:00,3.8
05/05/2024,Low,03:28:00,0.98
05/05/2024,Low,16:00:00,0.45
06/05/2024,High,10:49:00,4.06
06/05/2024,High,23:26:00,3.92
06/05/2024,Low,04:17:00,0.74
06/05/2024,Low,16:46:00,0.31
07/05/2024,High,11:37:00,4.15
07/05/2024,Low,05:02:00,0.55
07/05/2024,Low,17:30:00,0.26
07/05/2024,High,11:37:00,4.15
08/05/2024,High,00:06:00,3.98
08/05/2024,High,12:23:00,4.17
08/05/2024,Low,05:45:00,0.44
08/05/2024,Low,18:11:00,0.31
09/05/2024,High,00:45:00,4
09/05/2024,High,13:08:00,4.12
09/05/2024,Low,06:28:00,0.4
09/05/2024,Low,18:51:00,0.45
10/05/2024,High,01:26:00,3.98
10/05/2024,High,13:54:00,4.01
10/05/2024,Low,07:13:00,0.44
10/05/2024,Low,19:33:00,0.63
11/05/2024,High,02:08:00,3.93
11/05/2024,High,14:42:00,3.84
11/05/2024,Low,08:02:00,0.54
11/05/2024,Low,20:18:00,0.86
12/05/2024,High,02:53:00,3.84
12/05/2024,High,15:33:00,3.65
12/05/2024,Low,08:54:00,0.68
12/05/2024,Low,21:06:00,1.09
13/05/2024,High,03:42:00,3.72
13/05/2024,High,16:30:00,3.45
13/05/2024,Low,09:49:00,0.84
13/05/2024,Low,21:59:00,1.32
14/05/2024,High,04:39:00,3.58
14/05/2024,High,17:32:00,3.26
14/05/2024,Low,10:48:00,1
14/05/2024,Low,22:57:00,1.51
15/05/2024,High,05:47:00,3.45
15/05/2024,High,18:40:00,3.15
15/05/2024,Low,11:51:00,1.13
15/05/2024,Low,11:51:00,1.13
16/05/2024,High,06:59:00,3.39
16/05/2024,High,19:48:00,3.14
16/05/2024,Low,00:01:00,1.63
16/05/2024,Low,12:58:00,1.19
17/05/2024,High,08:06:00,3.39
17/05/2024,High,20:49:00,3.21
17/05/2024,Low,01:12:00,1.65
17/05/2024,Low,14:04:00,1.18
18/05/2024,High,09:05:00,3.45
18/05/2024,High,21:40:00,3.33
18/05/2024,Low,02:21:00,1.56
18/05/2024,Low,15:01:00,1.1
19/05/2024,High,09:55:00,3.53
19/05/2024,High,22:22:00,3.45
19/05/2024,Low,03:18:00,1.41
19/05/2024,Low,15:46:00,1.02
20/05/2024,High,10:38:00,3.59
20/05/2024,High,22:57:00,3.56
20/05/2024,Low,04:01:00,1.25
20/05/2024,Low,16:24:00,0.95
21/05/2024,High,11:15:00,3.64
21/05/2024,High,23:29:00,3.65
21/05/2024,Low,04:37:00,1.12
21/05/2024,Low,16:56:00,0.9
22/05/2024,High,11:48:00,3.67
22/05/2024,High,23:57:00,3.73
22/05/2024,Low,05:09:00,1.02
22/05/2024,Low,17:26:00,0.86
23/05/2024,High,12:21:00,3.7
23/05/2024,Low,05:39:00,0.94
23/05/2024,Low,17:56:00,0.85
23/05/2024,High,12:21:00,3.7
24/05/2024,High,00:27:00,3.8
24/05/2024,High,12:56:00,3.72
24/05/2024,Low,06:10:00,0.87
24/05/2024,Low,18:29:00,0.85
25/05/2024,High,01:03:00,3.85
25/05/2024,High,13:36:00,3.72
25/05/2024,Low,06:47:00,0.83
25/05/2024,Low,19:06:00,0.89
26/05/2024,High,01:44:00,3.87
26/05/2024,High,14:21:00,3.69
26/05/2024,Low,07:30:00,0.82
26/05/2024,Low,19:50:00,0.97
27/05/2024,High,02:30:00,3.86
27/05/2024,High,15:10:00,3.64
27/05/2024,Low,08:18:00,0.84
27/05/2024,Low,20:39:00,1.07
28/05/2024,High,03:20:00,3.82
28/05/2024,High,16:04:00,3.57
28/05/2024,Low,09:15:00,0.87
28/05/2024,Low,21:35:00,1.18
29/05/2024,High,04:15:00,3.77
29/05/2024,High,17:03:00,3.5
29/05/2024,Low,10:18:00,0.9
29/05/2024,Low,22:37:00,1.27
30/05/2024,High,05:15:00,3.72
30/05/2024,High,18:09:00,3.46
30/05/2024,Low,11:24:00,0.91
30/05/2024,Low,23:43:00,1.31
31/05/2024,High,06:19:00,3.71
31/05/2024,High,19:16:00,3.47
31/05/2024,Low,12:32:00,0.88
31/05/2024,Low,12:32:00,0.88
01/06/2024,High,07:26:00,3.75
01/06/2024,High,20:21:00,3.54
01/06/2024,Low,00:51:00,1.29
01/06/2024,Low,13:37:00,0.81
02/06/2024,High,08:30:00,3.81
02/06/2024,High,21:21:00,3.64
02/06/2024,Low,01:56:00,1.2
02/06/2024,Low,14:38:00,0.74
03/06/2024,High,09:31:00,3.89
03/06/2024,High,22:16:00,3.74
03/06/2024,Low,02:56:00,1.08
03/06/2024,Low,15:34:00,0.67
04/06/2024,High,10:29:00,3.95
04/06/2024,High,23:06:00,3.83
04/06/2024,Low,03:51:00,0.94
04/06/2024,Low,16:25:00,0.63
05/06/2024,High,11:22:00,3.99
05/06/2024,High,23:51:00,3.9
05/06/2024,Low,04:43:00,0.81
05/06/2024,Low,17:12:00,0.64
06/06/2024,High,12:12:00,3.98
06/06/2024,Low,05:32:00,0.72
06/06/2024,Low,17:57:00,0.69
06/06/2024,High,12:12:00,3.98
07/06/2024,High,00:32:00,3.94
07/06/2024,High,12:58:00,3.93
07/06/2024,Low,06:19:00,0.66
07/06/2024,Low,18:38:00,0.77
08/06/2024,High,01:12:00,3.96
08/06/2024,High,13:43:00,3.84
08/06/2024,Low,07:05:00,0.65
08/06/2024,Low,19:18:00,0.87
09/06/2024,High,01:53:00,3.94
09/06/2024,High,14:28:00,3.73
09/06/2024,Low,07:52:00,0.68
09/06/2024,Low,20:00:00,0.99
10/06/2024,High,02:36:00,3.9
10/06/2024,High,15:15:00,3.6
10/06/2024,Low,08:40:00,0.75
10/06/2024,Low,20:45:00,1.12
11/06/2024,High,03:22:00,3.82
11/06/2024,High,16:03:00,3.46
11/06/2024,Low,09:30:00,0.84
11/06/2024,Low,21:33:00,1.26
12/06/2024,High,04:12:00,3.71
12/06/2024,High,16:55:00,3.33
12/06/2024,Low,10:22:00,0.95
12/06/2024,Low,22:24:00,1.38
13/06/2024,High,05:06:00,3.59
13/06/2024,High,17:51:00,3.23
13/06/2024,Low,11:15:00,1.06
13/06/2024,Low,23:20:00,1.49
14/06/2024,High,06:06:00,3.48
14/06/2024,High,18:51:00,3.19
14/06/2024,Low,12:10:00,1.16
14/06/2024,Low,12:10:00,1.16
15/06/2024,High,07:09:00,3.41
15/06/2024,High,19:50:00,3.2
15/06/2024,Low,00:19:00,1.56
15/06/2024,Low,13:06:00,1.23
16/06/2024,High,08:09:00,3.39
16/06/2024,High,20:44:00,3.28
16/06/2024,Low,01:19:00,1.58
16/06/2024,Low,14:01:00,1.25
17/06/2024,High,09:04:00,3.41
17/06/2024,High,21:33:00,3.38
17/06/2024,Low,02:17:00,1.53
17/06/2024,Low,14:52:00,1.23
18/06/2024,High,09:54:00,3.46
18/06/2024,High,22:15:00,3.5
18/06/2024,Low,03:09:00,1.45
18/06/2024,Low,15:38:00,1.19
19/06/2024,High,10:39:00,3.53
19/06/2024,High,22:54:00,3.62
19/06/2024,Low,03:54:00,1.33
19/06/2024,Low,16:18:00,1.12
20/06/2024,High,11:21:00,3.6
20/06/2024,High,23:30:00,3.74
20/06/2024,Low,04:35:00,1.2
20/06/2024,Low,16:56:00,1.05
21/06/2024,High,12:00:00,3.68
21/06/2024,Low,05:13:00,1.06
21/06/2024,Low,17:33:00,0.98
21/06/2024,High,12:00:00,3.68
22/06/2024,High,00:06:00,3.86
22/06/2024,High,12:41:00,3.74
22/06/2024,Low,05:52:00,0.93
22/06/2024,Low,18:12:00,0.93
23/06/2024,High,00:46:00,3.95
23/06/2024,High,13:24:00,3.78
23/06/2024,Low,06:34:00,0.81
23/06/2024,Low,18:52:00,0.9
24/06/2024,High,01:29:00,4.01
24/06/2024,High,14:09:00,3.79
24/06/2024,Low,07:20:00,0.72
24/06/2024,Low,19:37:00,0.91
25/06/2024,High,02:15:00,4.05
25/06/2024,High,14:58:00,3.77
25/06/2024,Low,08:09:00,0.68
25/06/2024,Low,20:25:00,0.95
26/06/2024,High,03:05:00,4.05
26/06/2024,High,15:50:00,3.74
26/06/2024,Low,09:03:00,0.67
26/06/2024,Low,21:18:00,1.01
27/06/2024,High,03:58:00,4.03
27/06/2024,High,16:44:00,3.68
27/06/2024,Low,10:02:00,0.68
27/06/2024,Low,22:15:00,1.08
